"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 11 11:51:14 GMT 2023","Tue Apr 11 11:51:16 GMT 2023","2889","conduit_tests","test_conduit","TestConduit","","","test_registration_valid_data",""
"passed","Tue Apr 11 11:51:22 GMT 2023","Tue Apr 11 11:51:24 GMT 2023","1628","conduit_tests","test_conduit","TestConduit","","","test_all_pages",""
"passed","Tue Apr 11 11:51:20 GMT 2023","Tue Apr 11 11:51:21 GMT 2023","1044","conduit_tests","test_conduit","TestConduit","","","test_logout",""
"passed","Tue Apr 11 11:51:54 GMT 2023","Tue Apr 11 11:51:56 GMT 2023","1604","conduit_tests","test_conduit","TestConduit","","","test_save_data",""
"passed","Tue Apr 11 11:51:51 GMT 2023","Tue Apr 11 11:51:53 GMT 2023","1620","conduit_tests","test_conduit","TestConduit","","","test_listing_titles",""
"broken","Tue Apr 11 11:51:29 GMT 2023","Tue Apr 11 11:51:30 GMT 2023","1394","conduit_tests","test_conduit","TestConduit","","","test_delete_existing_post",""
"passed","Tue Apr 11 11:51:18 GMT 2023","Tue Apr 11 11:51:19 GMT 2023","863","conduit_tests","test_conduit","TestConduit","","","test_login_valid_data",""
"failed","Tue Apr 11 11:51:32 GMT 2023","Tue Apr 11 11:51:38 GMT 2023","6288","conduit_tests","test_conduit","TestConduit","","","test_modify_post",""
"passed","Tue Apr 11 11:51:25 GMT 2023","Tue Apr 11 11:51:28 GMT 2023","2352","conduit_tests","test_conduit","TestConduit","","","test_new_post",""
"passed","Tue Apr 11 11:51:12 GMT 2023","Tue Apr 11 11:51:12 GMT 2023","347","conduit_tests","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Tue Apr 11 11:51:39 GMT 2023","Tue Apr 11 11:51:50 GMT 2023","10454","conduit_tests","test_conduit","TestConduit","","","test_import_posts_from_file",""
