"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 11 11:38:35 GMT 2023","Tue Apr 11 11:38:36 GMT 2023","1090","conduit_tests","test_conduit","TestConduit","","","test_listing_titles",""
"passed","Tue Apr 11 11:38:06 GMT 2023","Tue Apr 11 11:38:07 GMT 2023","911","conduit_tests","test_conduit","TestConduit","","","test_logout",""
"passed","Tue Apr 11 11:38:04 GMT 2023","Tue Apr 11 11:38:04 GMT 2023","840","conduit_tests","test_conduit","TestConduit","","","test_login_valid_data",""
"passed","Tue Apr 11 11:38:08 GMT 2023","Tue Apr 11 11:38:09 GMT 2023","1020","conduit_tests","test_conduit","TestConduit","","","test_all_pages",""
"passed","Tue Apr 11 11:37:58 GMT 2023","Tue Apr 11 11:37:58 GMT 2023","174","conduit_tests","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Tue Apr 11 11:38:00 GMT 2023","Tue Apr 11 11:38:02 GMT 2023","2651","conduit_tests","test_conduit","TestConduit","","","test_registration_valid_data",""
"passed","Tue Apr 11 11:38:23 GMT 2023","Tue Apr 11 11:38:33 GMT 2023","10322","conduit_tests","test_conduit","TestConduit","","","test_import_posts_from_file",""
"passed","Tue Apr 11 11:38:17 GMT 2023","Tue Apr 11 11:38:21 GMT 2023","4342","conduit_tests","test_conduit","TestConduit","","","test_modify_post",""
"failed","Tue Apr 11 11:38:14 GMT 2023","Tue Apr 11 11:38:16 GMT 2023","1779","conduit_tests","test_conduit","TestConduit","","","test_delete_existing_post",""
"passed","Tue Apr 11 11:38:37 GMT 2023","Tue Apr 11 11:38:38 GMT 2023","1070","conduit_tests","test_conduit","TestConduit","","","test_save_data",""
"passed","Tue Apr 11 11:38:10 GMT 2023","Tue Apr 11 11:38:13 GMT 2023","2090","conduit_tests","test_conduit","TestConduit","","","test_new_post",""
