"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 11 11:21:45 GMT 2023","Tue Apr 11 11:21:47 GMT 2023","2451","conduit_tests","test_conduit","TestConduit","","","test_new_post",""
"failed","Tue Apr 11 11:21:51 GMT 2023","Tue Apr 11 11:21:56 GMT 2023","5207","conduit_tests","test_conduit","TestConduit","","","test_modify_post",""
"broken","Tue Apr 11 11:21:58 GMT 2023","Tue Apr 11 11:21:59 GMT 2023","852","conduit_tests","test_conduit","TestConduit","","","test_import_posts_from_file",""
"passed","Tue Apr 11 11:21:31 GMT 2023","Tue Apr 11 11:21:31 GMT 2023","320","conduit_tests","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Tue Apr 11 11:21:48 GMT 2023","Tue Apr 11 11:21:50 GMT 2023","1349","conduit_tests","test_conduit","TestConduit","","","test_delete_existing_post",""
"passed","Tue Apr 11 11:22:03 GMT 2023","Tue Apr 11 11:22:04 GMT 2023","1558","conduit_tests","test_conduit","TestConduit","","","test_save_data",""
"passed","Tue Apr 11 11:21:37 GMT 2023","Tue Apr 11 11:21:38 GMT 2023","865","conduit_tests","test_conduit","TestConduit","","","test_login_valid_data",""
"passed","Tue Apr 11 11:22:00 GMT 2023","Tue Apr 11 11:22:01 GMT 2023","1558","conduit_tests","test_conduit","TestConduit","","","test_listing_titles",""
"passed","Tue Apr 11 11:21:42 GMT 2023","Tue Apr 11 11:21:43 GMT 2023","1588","conduit_tests","test_conduit","TestConduit","","","test_all_pages",""
"broken","Tue Apr 11 11:21:33 GMT 2023","Tue Apr 11 11:21:35 GMT 2023","2813","conduit_tests","test_conduit","TestConduit","","","test_registration_valid_data",""
"passed","Tue Apr 11 11:21:39 GMT 2023","Tue Apr 11 11:21:40 GMT 2023","1192","conduit_tests","test_conduit","TestConduit","","","test_logout",""
