"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Apr 10 10:38:59 GMT 2023","Mon Apr 10 10:39:05 GMT 2023","5699","conduit_tests","test_login","TestLogin","","","test_login_valid_data",""
"broken","Mon Apr 10 10:39:07 GMT 2023","Mon Apr 10 10:39:12 GMT 2023","5456","conduit_tests","test_logout","TestLogout","","","test_logout",""
"passed","Mon Apr 10 10:39:13 GMT 2023","Mon Apr 10 10:39:16 GMT 2023","2610","conduit_tests","test_registration","TestRegistration","","","test_registration_valid_data",""
