"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 11 12:24:51 GMT 2023","Tue Apr 11 12:24:54 GMT 2023","2634","conduit_tests","test_conduit","TestConduit","","","test_registration_valid_data",""
"passed","Tue Apr 11 12:25:06 GMT 2023","Tue Apr 11 12:25:10 GMT 2023","3684","conduit_tests","test_conduit","TestConduit","","","test_delete_existing_post",""
"passed","Tue Apr 11 12:25:31 GMT 2023","Tue Apr 11 12:25:31 GMT 2023","827","conduit_tests","test_conduit","TestConduit","","","test_save_data",""
"passed","Tue Apr 11 12:25:11 GMT 2023","Tue Apr 11 12:25:16 GMT 2023","4667","conduit_tests","test_conduit","TestConduit","","","test_modify_post",""
"passed","Tue Apr 11 12:24:50 GMT 2023","Tue Apr 11 12:24:50 GMT 2023","207","conduit_tests","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Tue Apr 11 12:25:17 GMT 2023","Tue Apr 11 12:25:27 GMT 2023","9625","conduit_tests","test_conduit","TestConduit","","","test_import_posts_from_file",""
"passed","Tue Apr 11 12:25:28 GMT 2023","Tue Apr 11 12:25:29 GMT 2023","1084","conduit_tests","test_conduit","TestConduit","","","test_listing_titles",""
"passed","Tue Apr 11 12:24:57 GMT 2023","Tue Apr 11 12:24:58 GMT 2023","927","conduit_tests","test_conduit","TestConduit","","","test_logout",""
"passed","Tue Apr 11 12:24:59 GMT 2023","Tue Apr 11 12:25:01 GMT 2023","1510","conduit_tests","test_conduit","TestConduit","","","test_all_pages",""
"passed","Tue Apr 11 12:25:02 GMT 2023","Tue Apr 11 12:25:05 GMT 2023","2456","conduit_tests","test_conduit","TestConduit","","","test_new_post",""
"passed","Tue Apr 11 12:24:55 GMT 2023","Tue Apr 11 12:24:56 GMT 2023","788","conduit_tests","test_conduit","TestConduit","","","test_login_valid_data",""
